0,1,2,3,4,5,6
"Impfzentren, Mobile Teams,",Arztpraxen (Vertrags- und,,,,,
Betriebsärzt:innen,,,,,,
Bundesland,Krankenhäuser,Privatärzt:innen),,,,
Erstimpfungen,Zweitimpfungen,Erstimpfungen,Zweitimpfungen,Erstimpfungen,Zweitimpfungen,
Baden-Württemberg,4.220.003,3.826.888,2.696.189,2.398.771,180.881,170.551
Bayern,4.657.918,4.219.166,3.466.946,3.107.628,217.514,201.812
Berlin,1.396.754,1.275.691,993.975,866.866,40.807,41.960
Brandenburg,802.986,735.231,710.324,592.578,9.951,9.215
Bremen,354.510,310.521,154.035,131.159,15.647,13.216
Hamburg,742.019,677.169,494.037,409.146,63.976,59.791
Hessen,2.445.762,2.127.916,1.624.922,1.435.463,110.503,104.403
Mecklenburg-,,,,,,
Vorpommern,561.533,503.119,471.729,418.969,5.802,5.374
Niedersachsen,3.107.871,2.633.094,2.342.470,2.041.005,106.926,96.183
Nordrhein-Westfalen,6.850.693,6.047.905,5.581.430,4.649.261,339.655,298.779
Rheinland-Pfalz,1.618.691,1.402.532,1.114.320,958.547,64.075,58.781
Saarland,421.762,387.270,281.272,240.575,14.786,13.520
Sachsen,1.389.378,1.263.046,881.717,789.294,23.267,21.489
Sachsen-Anhalt,783.334,700.973,559.267,489.815,11.793,10.625
Schleswig-Holstein,1.143.192,1.013.844,904.082,773.612,33.588,32.633
Thüringen,807.897,735.217,442.447,405.330,11.187,9.808
Gesamt,31.304.303,27.859.582,22.719.162,19.708.019,1.250.358,1.148.140
