0,1,2,3,4,5,6
Meldewoche 11,Meldewoche 12,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,230.266,2.074,205.762,1.853,-24.504,-11%
Bayern,304.233,2.315,301.460,2.294,-2.773,-1%
Berlin,41.345,1.128,43.692,1.192,2.347,+6%
Brandenburg,39.891,1.576,36.625,1.447,-3.266,-8%
Bremen,9.749,1.433,10.636,1.564,887,+9%
Hamburg,24.379,1.316,25.898,1.398,1.519,+6%
Hessen,86.873,1.380,101.748,1.617,14.875,+17%
Mecklenburg-,,,,,,
40.394,2.508,38.185,2.371,-2.209,-5%,
Vorpommern,,,,,,
Niedersachsen,158.037,1.975,174.159,2.176,16.122,+10%
Nordrhein-Westfalen,283.641,1.582,270.729,1.510,-12.912,-5%
Rheinland-Pfalz,71.546,1.746,76.128,1.858,4.582,+6%
Saarland,22.126,2.249,22.486,2.285,360,+2%
Sachsen,106.971,2.637,91.617,2.258,-15.354,-14%
Sachsen-Anhalt,46.999,2.155,46.839,2.148,-160,-0%
Schleswig-Holstein,47.698,1.639,46.086,1.583,-1.612,-3%
Thüringen,47.876,2.258,45.143,2.129,-2.733,-6%
Gesamt,1.562.024,1.878,1.537.193,1.849,-24.831,-2%
