0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
97.055.812,8.749.677,,,
KW2/2022,,,,
3/2022,2.525.016,810.100,"32,1",214
4/2022,2.564.104,1.036.579,"40,4",215
5/2022,2.619.324,1.161.797,"44,4",215
6/2022,2.490.158,1.094.699,"44,0",211
7/2022,2.176.457,987.779,"45,4",215
8/2022,1.993.948,894.215,"44,8",209
9/2022,1.873.205,949.893,"50,7",211
10/2022,2.297.826,1.215.698,"52,9",213
11/2022,2.474.404,1.374.538,"55,6",209
12/2022,2.300.588,1.275.467,"55,4",198
Summe,120.370.842,19.550.442,,
