0,1,2,3,4,5,6
Meldewoche 50,Meldewoche 51,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,39.179,353,25.264,228,-13.915,-36%
Bayern,38.233,291,25.792,196,-12.441,-33%
Berlin,12.404,339,11.485,313,-919,-7%
Brandenburg,15.670,619,10.145,401,-5.525,-35%
Bremen,1.880,276,1.857,273,-23,-1%
Hamburg,6.050,327,6.443,348,393,+6%
Hessen,13.519,215,11.036,175,-2.483,-18%
Mecklenburg-Vorpommern,6.811,423,4.837,300,-1.974,-29%
Niedersachsen,14.796,185,10.713,134,-4.083,-28%
Nordrhein-Westfalen,44.175,246,34.285,191,-9.890,-22%
Rheinland-Pfalz,9.334,228,6.250,152,-3.084,-33%
Saarland,2.711,276,1.802,183,-909,-34%
Sachsen,30.568,753,18.098,446,-12.470,-41%
Sachsen-Anhalt,15.390,706,9.068,416,-6.322,-41%
Schleswig-Holstein,4.985,171,4.310,148,-675,-14%
Thüringen,17.678,834,11.733,553,-5.945,-34%
Gesamt,273.383,329,193.118,232,-80.265,-29%
