0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Symptomatische COVID-19-Fälle,57.018,37.849,286.978,44.891
davon… ungeimpft,51.818,21.094,74.970,10.017
grundimmunisiert,4.956,12.497,77.957,6.921
mit Auffrischimpfung,244,4.258,134.051,27.953
Hospitalisierte symptomatische COVID-19-Fälle,210,142,1.696,2.282
davon… ungeimpft,197,94,709,1.091
grundimmunisiert,12,39,430,338
mit Auffrischimpfung,1,9,557,853
Auf Intensivstation betreute symptomatische COVID-19-Fälle,3,3,59,248
davon… ungeimpft,3,1,44,161
grundimmunisiert,0,2,7,37
mit Auffrischimpfung,0,0,8,50
Verstorbene symptomatische COVID-19-Fälle,1,0,25,465
davon… ungeimpft,1,0,15,263
grundimmunisiert,0,0,3,66
mit Auffrischimpfung,0,0,7,136
