0,1,2,3,4,5,6
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und,,,,,
Betriebsärzte,,,,,,
Krankenhäuser,Privatärzte),,,,,
Erstimpfungen Zweitimpfungen,Erstimpfungen Zweitimpfungen Erstimpfungen Zweitimpfungen,,,,,
Bundesland,,,,,,
Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,
Baden-,,,,,,
4.028.278,3.662.671,2.606.717,2.257.255,170.647,155.439,
Württemberg,,,,,,
Bayern,4.433.486,3.971.950,3.355.951,2.915.718,208.483,181.652
Berlin,1.352.587,1.184.336,933.154,789.453,36.398,32.322
Brandenburg,781.576,706.347,662.486,541.822,9.575,8.322
Bremen,334.191,298.688,145.743,120.923,15.219,12.993
Hamburg,713.951,607.623,453.387,354.216,59.781,47.051
Hessen,2.323.972,1.954.194,1.545.173,1.304.306,103.294,89.131
Mecklenburg-,,,,,,
541.656,482.321,445.654,390.093,5.541,5.060,
Vorpommern,,,,,,
Niedersachsen,2.965.234,2.408.172,2.230.106,1.851.605,96.961,81.546
Nordrhein-,,,,,,
6.449.081,5.711.873,5.266.205,4.225.903,326.177,259.875,
Westfalen,,,,,,
Rheinland-,,,,,,
1.539.816,1.323.513,1.063.520,879.894,50.864,54.656,
Pfalz,,,,,,
Saarland,406.912,349.399,268.287,221.286,13.362,11.553
Sachsen,1.328.485,1.205.365,838.050,733.413,20.283,18.359
Sachsen-,,,,,,
751.091,667.271,530.191,446.977,11.327,8.934,
Anhalt,,,,,,
Schleswig-,,,,,,
1.085.138,949.478,861.857,700.189,31.530,27.527,
Holstein,,,,,,
Thüringen,782.834,707.057,421.597,375.607,11.023,9.165
Gesamt,29.818.288,26.190.258,21.628.078,18.108.660,1.170.524,1.003.622
