0,1,2,3,4,5
Altersgruppe,,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,,
Jahre,Jahre,Jahre,und älter,,
Symptomatische COVID-19-Fälle¹,2.328,2.810,27.534,3.380,
davon…,ungeimpft,2.318,1.294,4.661,457
grundimmunisiert,10,1.460,16.270,1.326,
mit Auffrischimpfung,0,56,6.603,1.597,
Hospitalisierte symptomatische COVID-19-Fälle¹,6,18,241,141,
davon…,ungeimpft,6,9,63,43
grundimmunisiert,0,9,137,54,
mit Auffrischimpfung,0,0,41,44,
Auf Intensivstation betreute symptomatische COVID-19-Fälle¹,0,0,5,15,
davon…,ungeimpft,0,0,1,7
grundimmunisiert,0,0,3,4,
mit Auffrischimpfung,0,0,1,4,
Verstorbene symptomatische COVID-19-Fälle¹ ²,0,0,2,21,
davon…,ungeimpft,0,0,0,8
grundimmunisiert,0,0,1,9,
mit Auffrischimpfung,0,0,1,4,
