0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre und,
Jahre,Jahre,Jahre,älter,
Symptomatische COVID-19-Fälle¹,32.531,18.020,90.794,18.328
davon mit Auffrischimpfung²,10,178,20.710,6.174
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","1,0%","22,8%","33,7%"
Hospitalisierte symptomatische COVID-19-Fälle¹,116,92,2.039,2.951
davon mit Auffrischimpfung²,0,0,143,393
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","0,0%","7,0%","13,3%"
Auf Intensivstation betreute symptomatische,1,4,257,551
COVID-19-Fälle¹,,,,
davon mit Auffrischimpfung²,0,0,4,44
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","0,0%","1,6%","8,0%"
Verstorbene symptomatische COVID-19-Fälle¹ ³,0,0,63,741
davon mit Auffrischimpfung²,0,0,6,89
Anteil Impfdurchbrüche (Auffrischimpfung),-,-,"9,5%","12,0%"
