0,1,2,3,4
Anzahl,,,,
Kalenderwoche,Positiv,Positivenanteil,,
Anzahl Testungen,übermittelnder,,,
(KW),getestet,(%),,
Labore,,,,
Bis einschließlich KW,,,,
58.153.874,3.982.962,,,
18/2021,,,,
19/2021,1.102.491,90.504,"8,21",211
20/2021,1.221.100,70.443,"5,77",210
21/2021,951.220,39.462,"4,15",209
22/2021,883.832,27.561,"3,12",209
23/2021,835.367,19.298,"2,31",209
24/2021,730.722,10.462,"1,43",205
25/2021,714.477,6.927,"0,97",209
26/2021,706.113,5.626,"0,80",209
27/2021,595.797,6.563,"1,10",206
28/2021,592.221,9.692,"1,64",198
Summe,66.487.214,4.269.500,,
