0,1,2,3,4,5,6
Meldewoche 39,Meldewoche 40,Änderung im Vergleich,,,,
Bundesland,7-Tage-In-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
zidenz,Inzidenz,,,,,
Baden-Württemberg,9.669,87,9.811,88,142,+1 %
Bayern,12.601,96,12.660,96,59,+0 %
Berlin,3.008,82,3.076,84,68,+2 %
Brandenburg,1.123,44,1.279,51,156,+14 %
Bremen,764,112,693,102,-71,-9 %
Hamburg,1.386,75,1.081,58,-305,-22 %
Hessen,4.120,65,4.023,64,-97,-2 %
Mecklenburg-Vorpommern,816,51,832,52,16,+2 %
Niedersachsen,3.803,48,3.495,44,-308,-8 %
Nordrhein-Westfalen,9.779,55,9.669,54,-110,-1 %
Rheinland-Pfalz,2.346,57,2.457,60,111,+5 %
Saarland,429,44,457,46,28,+7 %
Sachsen,3.025,75,3.811,94,786,+26 %
Sachsen-Anhalt,1.002,46,1.173,54,171,+17 %
Schleswig-Holstein,850,29,821,28,-29,-3 %
Thüringen,1.674,79,2.100,99,426,+25 %
Gesamt,56.395,68,57.438,69,1.043,+2 %
