0,1,2,3,4
Kalenderwoche,Positiv,Positivenanteil,Anzahl übermittelnder,
Anzahl Testungen,,,,
(KW),getestet,(%),Labore,
Bis einschließlich,,,,
65.940.636,4.260.730,,,
KW27/2021,,,,
28/2021,607.770,9.864,"1,62",208
29/2021,594.342,13.804,"2,32",208
30/2021,583.319,17.108,"2,93",207
31/2021,589.841,22.500,"3,81",209
32/2021,567.948,34.255,"6,03",204
33/2021,690.888,53.966,"7,81",205
34/2021,861.596,70.512,"8,18",208
35/2021,946.403,82.050,"8,67",209
36/2021,1.005.179,79.785,"7,94",207
37/2021,960.979,72.250,"7,52",202
Summe,73.348.901,4.716.824,,
