0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und Privatärzte),Betriebsärzte,,,,,,,
"Krankenhäuser, Gesundheitsämter",,,,,,,,,
Bundesland,Auf-,Auf-,Auf-,,,,,,
Erst-,Zweit-,Erst-,Zweit-,Erst-,Zweit-,,,,
frischungs-,frischungs-,frischungs-,,,,,,,
impfungen,impfungen,impfungen,impfungen,impfungen,impfungen,,,,
impfungen,impfungen,impfungen,,,,,,,
Baden –,,,,,,,,,
4.562.261,4.165.891,1.641.456,3.417.225,3.302.390,4.289.315,195.097,188.515,172.060,
Württemberg,,,,,,,,,
Bayern,5.352.596,5.066.034,3.004.166,4.093.121,3.909.700,3.905.934,236.100,224.327,151.808
Berlin,1.529.490,1.433.879,717.296,1.258.335,1.179.612,1.322.578,42.805,45.793,45.812
Brandenburg,876.940,810.585,335.126,859.890,789.892,891.683,11.239,10.672,8.894
Bremen,413.324,367.705,224.246,180.442,167.768,185.037,16.767,14.174,13.391
Hamburg,827.803,747.751,225.917,612.497,569.123,744.667,70.364,67.391,40.712
Hessen,2.723.517,2.382.169,1.036.767,1.962.670,1.878.098,2.217.186,119.713,116.433,112.782
Mecklenburg-,,,,,,,,,
625.787,573.060,321.654,558.445,535.261,534.935,6.668,6.421,8.352,
Vorpommern,,,,,,,,,
Niedersachsen,3.322.283,2.922.676,1.394.645,2.802.199,2.655.844,3.292.603,119.249,111.620,129.283
Nordrhein-,,,,,,,,,
7.428.827,6.748.254,2.493.101,6.556.555,6.084.326,7.677.483,359.255,333.634,276.873,
Westfalen,,,,,,,,,
Rheinland-Pfalz,1.753.668,1.540.825,577.055,1.337.673,1.264.189,1.629.240,68.619,65.226,96.341
Saarland,458.981,422.858,185.693,333.255,312.324,420.549,15.943,15.076,15.865
Sachsen,1.532.089,1.403.093,509.185,1.078.848,1.049.205,1.287.477,27.270,26.585,42.675
Sachsen-Anhalt,865.906,790.319,366.746,681.493,660.687,725.256,13.633,12.547,20.495
Schleswig-,,,,,,,,,
1.236.481,1.147.970,621.801,1.056.403,994.198,1.210.095,37.995,38.952,41.435,
Holstein,,,,,,,,,
Thüringen,934.379,843.650,514.350,533.007,518.995,518.610,12.018,10.763,8.425
Gesamt,34.444.332,31.366.719,14.169.204,27.322.058,25.871.612,30.852.648  1.352.735,1.288.129,1.185.203,
