0,1,2,3,4,5,6
Bundesland,Meldewoche 36,Meldewoche 37,Änderung im Vergleich,,,
7-Tage-,7-Tage-,,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,10.590,95,10.617,96,27,+0%
Bayern,12.441,95,12.148,92,-293,-2%
Berlin,3.312,90,3.012,82,-300,-9%
Brandenburg,1.168,46,1.072,42,-96,-8%
Bremen,798,117,752,111,-46,-6%
Hamburg,1.570,85,1.217,66,-353,-22%
Hessen,6.751,107,5.023,80,-1.728,-26%
Mecklenburg-Vorpommern,624,39,510,32,-114,-18%
Niedersachsen,6.180,77,4.767,60,-1.413,-23%
Nordrhein-Westfalen,18.596,104,13.406,75,-5.190,-28%
Rheinland-Pfalz,4.074,99,3.177,78,-897,-22%
Saarland,715,73,614,62,-101,-14%
Sachsen,1.854,46,1.678,41,-176,-9%
Sachsen-Anhalt,646,30,849,39,203,+31%
Schleswig-Holstein,1.274,44,1.069,37,-205,-16%
Thüringen,1.011,48,1.226,58,215,+21%
Gesamt,71.604,86,61.137,74,-10.467,-15%
