0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Kranken-",Arztpraxen (Vertragsärzte und Privat-,Betriebsärzte,,,,,,,
häuser,ärzte),,,,,,,,
Bundesland,Erstimpfun- Zweitimpfun-,Auffri-,Erstimpfun- Zweitimp-,Auffri-,Erstimpfun-,Zweitimp-,Auffri-,,
gen,gen,schungsimp-,gen,fungen schungsimp-,gen,fungen,schungs-,,
fungen,fungen,impfungen,,,,,,,
Baden-,,,,,,,,,
4.357.195,3.960.373,145.713,2.940.149 2.729.523,359.620,184.532,175.207,2.506,,
Württemberg,,,,,,,,,
Bayern,4.950.230,4.551.333,319.303,3.695.390 3.405.817,357.796,224.463,209.889,1.398,
Berlin,1.447.428,1.344.710,123.603,1.096.253,997.212,167.928,41.386,43.834,165
Brandenburg,828.112,764.280,15.901,769.428,675.109,85.114,10.194,9.508,550
Bremen,375.601,333.709,30.629,164.672,147.769,20.639,16.020,13.351,145
Hamburg,774.617,707.462,26.615,551.314,493.507,68.757,66.119,62.982,641
Hessen,2.540.276,2.240.413,92.008,1.750.407 1.619.585,211.253,114.099,109.003,2.097,
Mecklenburg-,,,,,,,,,
584.122,528.269,29.867,504.105,467.619,43.809,5.845,5.474,23,
Vorpommern,,,,,,,,,
Niedersach-,,,,,,,,,
3.152.713,2.735.442,96.547,2.537.927 2.313.765,306.565,110.685,101.311,4.305,,
sen,,,,,,,,,
Nordrhein-,,,,,,,,,
7.047.845,6.360.909,111.636,5.948.587 5.301.636,880.585,347.842,312.742,9.495,,
Westfalen,,,,,,,,,
Rheinland-,,,,,,,,,
1.671.116,1.462.094,28.651,1.195.913 1.085.066,183.089,65.325,60.608,765,,
Pfalz,,,,,,,,,
Saarland,437.401,402.470,21.263,298.967,268.183,35.968,15.084,14.047,504
Sachsen,1.443.660,1.322.348,46.723,954.221,893.078,117.442,23.947,22.336,1.492
Sachsen-,,,,,,,,,
806.502,727.261,23.977,608.191,556.665,72.845,11.965,10.965,1.309,
Anhalt,,,,,,,,,
Schleswig-,,,,,,,,,
1.172.561,1.060.803,22.506,960.854,872.789,157.578,35.088,35.019,1.047,
Holstein,,,,,,,,,
Thüringen,850.023,770.677,83.858,473.042,446.915,52.454,11.251,9.953,18
Gesamt,32.439.402,29.272.553,1.218.800 24.449.420 22.274.238,3.121.442,1.283.845,1.196.229,26.460,,
