0,1,2,3,4
"Impfzentren, Mobile Teams,",Arztpraxen,,,
Bundesland,"Krankenhäuser,",(Vertragsärzte und,Betriebsärzte,Apotheken
Gesundheitsämter,Privatärzte),,,
Baden - Württemberg,10.455.517,11.232.433,560.223,2.277
Bayern,13.592.366,12.144.439,618.907,3.138
Berlin,3.712.401,3.851.869,135.318,2.814
Brandenburg,2.046.604,2.610.450,31.344,413
Bremen,1.018.329,544.887,44.771,49
Hamburg,1.820.137,2.064.539,181.872,1.172
Hessen,6.224.338,6.205.651,360.284,1.688
Mecklenburg-,,,,
1.539.776,1.673.061,21.681,478,
Vorpommern,,,,
Niedersachsen,7.750.977,8.969.745,363.443,3.250
Nordrhein-Westfalen,16.878.239,20.779.943,984.733,14.462
Rheinland-Pfalz,3.912.992,4.336.068,232.495,1.388
Saarland,1.079.810,1.087.520,47.174,1.058
Sachsen,3.490.346,3.503.420,98.395,1.993
Sachsen-Anhalt,2.046.922,2.131.998,47.325,697
Schleswig-Holstein,3.049.247,3.463.113,120.560,849
Thüringen,2.317.569,1.619.825,31.499,107
Gesamt,80.935.570,86.218.961,3.880.024,35.833
