0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und Privatärzte),Betriebsärzte,,,,,,,
"Krankenhäuser, Gesundheitsämter",,,,,,,,,
Bundesland,Auf-,Auf-,Auf-,,,,,,
Erst-,Zweit-,Erst-,Zweit-,Erst-,Zweit-,,,,
frischungs-,frischungs-,frischungs-,,,,,,,
impfungen,impfungen,impfungen,impfungen,impfungen,impfungen,,,,
impfungen,impfungen,impfungen,,,,,,,
Baden –,4.558.741,4.154.253,1.622.781,3.408.638,3.276.606,4.228.944,194.867,188.019,169.055
Württemberg,,,,,,,,,
Bayern,5.346.211,5.043.678,2.963.960,4.085.180,3.884.909,3.828.146,235.739,223.737,142.476
Berlin,1.528.285,1.429.188,708.219,1.254.844,1.170.292,1.293.141,42.782,45.737,44.461
Brandenburg,876.075,808.034,330.028,857.818,783.352,871.617,11.228,10.627,8.702
Bremen,412.569,365.899,221.639,179.951,166.506,180.641,16.759,14.143,13.189
Hamburg,827.031,745.319,221.581,610.931,564.321,726.965,70.343,67.318,39.548
Hessen,2.720.351,2.372.251,1.020.735,1.957.214,1.863.366,2.171.429,119.497,116.096,110.808
Mecklenburg-,625.123,571.269,317.323,557.623,533.036,526.438,6.660,6.381,8.270
Vorpommern,,,,,,,,,
Niedersachsen,3.317.106,2.908.319,1.369.261,2.795.216,2.635.945,3.230.554,118.636,110.867,128.041
Nordrhein-,7.421.274,6.724.156,2.445.368,6.541.380,6.045.384,7.544.219,359.048,333.130,271.798
Westfalen,,,,,,,,,
Rheinland-Pfalz,1.752.114,1.535.117,571.030,1.334.167,1.254.177,1.601.365,68.434,65.046,86.127
Saarland,458.630,421.364,183.433,332.590,310.126,414.709,15.925,15.032,15.726
Sachsen,1.530.411,1.398.330,498.387,1.075.935,1.040.465,1.258.570,26.988,26.304,41.806
Sachsen-Anhalt,864.879,787.492,361.249,679.879,656.084,707.221,13.616,12.469,19.899
Schleswig-,1.235.244,1.142.681,612.425,1.053.950,986.855,1.177.745,37.950,38.426,40.051
Holstein,,,,,,,,,
Thüringen,933.163,840.199,508.640,531.606,514.699,504.824,12.008,10.730,8.201
Gesamt,34.407.207 31.247.549 13.956.059,27.256.922 25.686.123,30.266.528 1.350.480,1.284.062,1.148.158,,,,
