0,1,2,3,4,5
Altersgruppe,,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,,
Jahre,Jahre,Jahre,und älter,,
Symptomatische COVID-19-Fälle¹,4.237,4.923,42.491,5.013,
davon…,ungeimpft,4.210,2.356,8.088,775
grundimmunisiert,25,2.445,23.509,1.830,
mit Auffrischimpfung,2,122,10.894,2.408,
Hospitalisierte symptomatische COVID-19-Fälle¹,14,28,379,210,
davon…,ungeimpft,14,14,120,76
grundimmunisiert,0,13,194,64,
mit Auffrischimpfung,0,1,65,70,
Auf Intensivstation betreute symptomatische COVID-19-Fälle¹,0,0,13,22,
davon…,ungeimpft,0,0,7,15
grundimmunisiert,0,0,5,2,
mit Auffrischimpfung,0,0,1,5,
Verstorbene symptomatische COVID-19-Fälle¹ ²,0,0,3,24,
davon…,ungeimpft,0,0,1,10
grundimmunisiert,0,0,1,7,
mit Auffrischimpfung,0,0,1,7,
