0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
82.201.641,5.685.748,,,
KW45/2021,,,,
46/2021,1.871.232,366.962,"19,61",213
47/2021,1.952.475,409.685,"20,98",211
48/2021,1.950.318,401.160,"20,57",212
49/2021,1.740.705,341.493,"19,62",211
50/2021,1.556.794,286.958,"18,43",206
51/2021,1.244.761,202.568,"16,27",207
52/2021,960.437,206.409,"21,49",210
1/2022,1.498.896,341.546,"22,79",212
2/2022,2.051.752,500.948,"24,42",207
3/2022,2.496.895,805.306,"32,25",203
Summe,99.525.906,9.548.783,,
