0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
89.738.559,7.209.641,,,
KW49/2021,,,,
50/2021,1.557.054,286.962,"18,4",207
51/2021,1.245.166,202.569,"16,3",208
52/2021,960.454,206.409,"21,5",211
1/2022,1.499.030,341.569,"22,8",213
2/2022,2.052.343,501.078,"24,4",209
3/2022,2.523.532,809.136,"32,1",213
4/2022,2.562.790,1.035.695,"40,4",214
5/2022,2.612.808,1.164.749,"44,6",213
6/2022,2.489.453,1.098.351,"44,1",205
7/2022,2.144.260,978.995,"45,7",204
Summe,109.385.449,13.835.154,,
