0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Symptomatische COVID-19-Fälle,69.283,43.129,257.224,32.687
davon… ungeimpft,67.073,27.211,80.411,8.869
grundimmunisiert,1.888,14.019,89.844,7.137
mit Auffrischimpfung,322,1.899,86.969,16.681
Hospitalisierte symptomatische COVID-19-Fälle,258,179,1.870,1.860
davon… ungeimpft,253,124,936,942
grundimmunisiert,5,49,567,383
mit Auffrischimpfung,0,6,367,535
Auf Intensivstation betreute symptomatische COVID-19-Fälle,2,1,78,208
davon… ungeimpft,2,0,55,134
grundimmunisiert,0,1,13,45
mit Auffrischimpfung,0,0,10,29
Verstorbene symptomatische COVID-19-Fälle,1,0,30,294
davon… ungeimpft,1,0,22,172
grundimmunisiert,0,0,3,54
mit Auffrischimpfung,0,0,5,68
