0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und,Betriebsärzte,,,,,,,
Krankenhäuser,Privatärzte),,,,,,,,
Bundesland,Erstimpfun- Zweitimpfun-,Auffri-,Erstimpfun- Zweitimpfun-,Auffri-,Erstimpfun- Zweitimpfun-,Auffri-,,,
gen,gen,schungsimp-,gen,gen,schungsimp-,gen,gen,schungsimp-,
fungen,fungen,fungen,,,,,,,
Baden-,,,,,,,,,
4.396.644,3.970.617,272.426,3.061.041,2.810.948,1.007.417,186.613,176.625,9.819,
Württemberg,,,,,,,,,
Bayern,5.055.499,4.614.620,773.302,3.792.120,3.473.707,980.925,226.487,210.814,7.554
Berlin,1.468.017,1.354.695,212.640,1.134.370,1.021.010,354.287,41.513,43.890,1.214
Brandenburg,835.239,766.121,39.558,791.659,690.201,224.632,10.309,9.611,1.053
Bremen,381.781,335.909,48.570,167.474,150.676,44.328,16.062,13.373,868
Hamburg,790.293,712.417,48.027,563.155,504.734,154.602,67.818,63.158,1.773
Hessen,2.577.016,2.252.052,164.450,1.796.020,1.655.110,506.691,114.653,109.363,5.078
Mecklenburg-,,,,,,,,,
598.392,533.024,69.558,516.340,476.847,114.792,5.910,5.477,1.523,
Vorpommern,,,,,,,,,
Niedersachsen,3.186.214,2.746.443,217.251,2.591.781,2.364.354,732.375,112.523,103.282,9.496
Nordrhein-,,,,,,,,,
7.070.249,6.346.439,323.896,6.074.550,5.420.114,2.087.038,348.978,313.414,21.189,
Westfalen,,,,,,,,,
Rheinland-,,,,,,,,,
1.684.438,1.465.527,73.869,1.226.263,1.110.373,417.779,65.655,60.780,3.111,
Pfalz,,,,,,,,,
Saarland,443.418,403.759,38.775,306.234,273.232,100.474,15.148,14.081,1.114
Sachsen,1.457.807,1.328.527,83.916,980.403,911.429,311.819,24.296,22.542,4.465
Sachsen-,,,,,,,,,
822.691,732.095,64.352,628.209,571.464,180.116,12.130,11.055,3.586,
Anhalt,,,,,,,,,
Schleswig-,,,,,,,,,
1.178.586,1.062.068,29.505,981.246,889.772,332.961,35.336,35.176,3.831,
Holstein,,,,,,,,,
Thüringen,871.935,778.394,152.543,487.901,455.272,122.780,11.308,9.976,243
Gesamt,32.818.219,29.402.707,2.612.638 25.098.766,22.779.243,7.673.016,1.294.739,1.202.617,75.917,
