0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und Privatärzte),Betriebsärzte,,,,,,,
Krankenhäuser,,,,,,,,,
Bundesland,,,,,,,,,
Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,
impfungen,impfungen,impfungen,impfungen,impfungen,impfungen impfungen impfungen impfungen,,,,
Baden-,,,,,,,,,
4.434.694,3.991.832,652.978,3.175.342,2.906.384,2.185.640,190.405,178.932,52.475,
Württemberg,,,,,,,,,
Bayern,5.137.906,4.705.125,1.439.421,3.891.288,3.560.373,2.009.440,229.998,213.299,33.368
Berlin,1.498.141,1.402.978,339.249,1.172.938,1.050.333,665.206,41.909,44.142,8.440
Brandenburg,848.512,770.320,110.640,817.158,707.774,435.501,10.666,9.749,2.980
Bremen,391.426,340.028,81.972,172.047,153.967,87.335,16.516,13.440,2.391
Hamburg,801.035,718.265,79.110,575.953,515.314,307.546,68.953,63.865,10.039
Hessen,2.613.227,2.270.432,344.000,1.844.478,1.696.992,1.073.772,116.566,110.897,28.360
Mecklenburg-,,,,,,,,,
608.976,538.678,138.060,531.090,487.111,242.600,6.045,5.509,3.214,
Vorpommern,,,,,,,,,
Niedersachsen,3.216.734,2.766.945,495.929,2.653.588,2.419.977,1.600.047,114.748,104.645,44.913
Nordrhein-,,,,,,,,,
7.183.109,6.424.565,871.834,6.195.451,5.533.582,4.019.651,352.229,317.471,94.399,
Westfalen,,,,,,,,,
Rheinland-Pfalz,1.705.194,1.471.903,216.221,1.258.466,1.136.981,845.728,66.660,61.890,30.164
Saarland,446.745,405.573,71.100,315.445,279.943,228.064,15.462,14.236,4.936
Sachsen,1.479.003,1.339.133,191.097,1.012.194,935.305,646.805,25.010,23.246,12.112
Sachsen-,,,,,,,,,
837.141,739.170,143.538,648.746,588.827,365.343,12.498,11.269,8.695,
Anhalt,,,,,,,,,
Schleswig-,,,,,,,,,
1.190.529,1.083.937,163.369,1.003.896,907.854,608.364,36.746,36.500,10.400,
Holstein,,,,,,,,,
Thüringen,893.557,789.521,261.168,504.394,465.159,235.828,11.680,10.070,2.403
Gesamt,33.285.929 29.758.405,5.599.686,25.772.474,23.345.876,15.556.870,1.316.091 1.219.160,349.289,,
