0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Kranken-",Arztpraxen (Vertragsärzte und Pri-,Betriebsärzte,,,,,,,
häuser,vatärzte),,,,,,,,
Bundesland,Erst-impfun-,Zweit-imp-,Auffri-,Erst-impfun-,Zweit-imp-,Auffri-,Erst-impfun-,Zweit-imp-,Auffri-
gen,fungen,schungs-imp-,gen,fungen,schungs-imp-,gen,fungen,schungs-imp-,
fungen,fungen,fungen,,,,,,,
Baden-Würt-,3.922.906,76.859,2.783.651,2.485.198,58.993,182.538,172.806,178,
4.308.022,,,,,,,,,
temberg,,,,,,,,,
Bayern,4.763.991,4.358.247,50.141,3.559.258,3.210.733,53.226,220.919,206.446,152
Berlin,1.414.581,1.304.455,34.002,1.025.648,915.652,33.411,41.266,43.656,26
Brandenburg,817.511,753.601,5.542,736.514,626.858,9.304,10.055,9.323,7
Bremen,364.063,322.078,8.876,159.303,137.418,2.157,15.917,13.283,2
Hamburg,753.604,687.818,3.038,520.067,447.442,8.741,65.051,61.278,20
Hessen,2.495.686,2.196.826,39.036,1.677.185,1.502.089,30.834,111.879,106.924,200
Mecklenburg-,571.146,514.361,6.620,484.581,440.015,4.655,5.822,5.430,8
Vorpommern,,,,,,,,,
Niedersachsen,3.134.212,2.724.805,5.249,2.432.484,2.126.551,32.638,109.432,99.498,135
Nordrhein-,6.974.114,6.282.625,38.084,5.737.414,4.901.986,180.947,345.765,309.534,3.641
Westfalen,,,,,,,,,
Rheinland-,1.654.465,1.450.421,15.862,1.149.030,1.000.389,34.501,64.664,59.819,40
Pfalz,,,,,,,,,
Saarland,428.993,396.076,3.857,289.255,250.369,4.951,14.857,13.592,15
Sachsen,1.415.627,1.293.892,6.282,912.704,826.396,12.070,23.566,21.856,17
Sachsen-An-,,,,,,,,,
795.414,716.544,9.329,579.824,511.389,13.851,11.869,10.839,6,
halt,,,,,,,,,
Schleswig-Hol-,1.162.884,1.058.653,17.951,926.240,814.569,33.346,34.656,34.504,192
stein,,,,,,,,,
Thüringen,823.988,746.311,12.600,455.234,421.099,7.373,11.212,9.911,2
Gesamt,31.878.301,28.729.619,333.328,23.428.392,20.618.153,520.998,1.269.468,1.178.699,4.641
