0,1,2,3,4,5,6
Meldewoche 38,Meldewoche 39,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,9.296,84,9.590,86,294,+3%
Bayern,11.389,87,12.537,95,1.148,+10%
Berlin,2.681,73,2.996,82,315,+12%
Brandenburg,953,38,1.026,41,73,+8%
Bremen,751,110,766,113,15,+2%
Hamburg,1.172,63,1.388,75,216,+18%
Hessen,4.249,68,4.112,65,-137,-3%
Mecklenburg-Vorpommern,554,34,816,51,262,+47%
Niedersachsen,3.782,47,3.807,48,25,+1%
Nordrhein-Westfalen,10.909,61,9.718,54,-1.191,-11%
Rheinland-Pfalz,2.516,61,2.344,57,-172,-7%
Saarland,570,58,426,43,-144,-25%
Sachsen,1.817,45,2.965,73,1.148,+63%
Sachsen-Anhalt,811,37,1.000,46,189,+23%
Schleswig-Holstein,891,31,845,29,-46,-5%
Thüringen,1.201,57,1.664,78,463,+39%
Gesamt,53.542,64,56.000,67,2.458,+5%
