0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
99.580.828,9.559.777,,,
KW3/2022,,,,
4/2022,2.564.104,1.036.579,"40,4",215
5/2022,2.619.324,1.161.797,"44,4",215
6/2022,2.490.158,1.094.699,"44,0",211
7/2022,2.176.457,987.779,"45,4",215
8/2022,1.993.948,894.215,"44,8",209
9/2022,1.873.205,949.893,"50,7",211
10/2022,2.297.826,1.215.698,"52,9",213
11/2022,2.475.648,1.374.740,"55,5",209
12/2022,2.317.791,1.278.222,"55,1",205
13/2022,1.943.095,1.008.202,"51,9",199
Summe,122.332.384,20.561.601,,
