0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre und,
Jahre,Jahre,Jahre,älter,
Symptomatische COVID-19-Fälle¹,38.583,21.064,88.520,17.904
davon mit Auffrischimpfung²,7,53,9.413,3.896
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","0,3%","10,6%","21,8%"
Hospitalisierte symptomatische COVID-19-Fälle¹,157,103,2.219,3.332
davon mit Auffrischimpfung²,0,0,95,403
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","0,0%","4,3%","12,1%"
Auf Intensivstation betreute symptomatische,,,,
5,4,306,626,
COVID-19-Fälle¹,,,,
davon mit Auffrischimpfung²,0,0,8,53
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","0,0%","2,6%","8,5%"
Verstorbene symptomatische COVID-19-Fälle¹ ³,0,0,69,860
davon mit Auffrischimpfung²,0,0,6,108
Anteil Impfdurchbrüche (Auffrischimpfung),-,-,"8,7%","12,6%"
