0,1,2,3,4,5,6
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und,,,,,
Betriebsärzte,,,,,,
Krankenhäuser,Privatärzte),,,,,
Erstimpfungen Zweitimpfungen,Erstimpfungen,Zweitimpfungen,Erstimpfungen,Zweitimpfungen,,
Bundesland,,,,,,
Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,
Baden-Württemberg,3.940.121,3.492.252,2.564.298,2.071.360,163.549,117.162
Bayern,4.329.054,3.668.773,3.298.112,2.605.495,202.227,124.339
Berlin,1.311.675,1.095.553,902.447,708.413,33.576,21.311
Brandenburg,765.150,681.389,639.537,489.624,9.401,5.571
Bremen,326.153,277.951,142.838,110.659,13.875,9.081
Hamburg,690.226,540.941,437.468,300.945,54.764,26.837
Hessen,2.274.361,1.871.011,1.513.903,1.170.231,93.365,50.981
Mecklenburg-,,,,,,
529.597,448.358,431.206,354.621,5.155,3.275,
Vorpommern,,,,,,
Niedersachsen,2.897.569,2.213.081,2.194.473,1.654.596,92.584,53.672
Nordrhein-Westfalen,6.260.802,5.295.395,5.148.727,3.750.886,309.700,163.346
Rheinland-Pfalz,1.505.509,1.254.789,1.042.874,789.639,41.030,29.121
Saarland,396.496,324.200,262.570,198.647,13.176,8.147
Sachsen,1.295.643,1.171.919,818.569,687.286,19.923,14.337
Sachsen-Anhalt,733.104,632.764,519.695,407.537,9.594,5.912
Schleswig-Holstein,1.052.470,914.431,835.633,599.909,29.566,15.623
Thüringen,766.026,692.948,412.700,351.127,10.511,6.492
Gesamt,29.073.956,24.575.755,21.165.050,16.250.975,1.101.996,655.207
