0,1,2,3,4,5,6
Meldewoche 37,Meldewoche 38,Änderung im Vergleich,,,,
Bundesland,7-Tage-In-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
zidenz,Inzidenz,,,,,
Baden-Württemberg,10.653,96,9.191,83,-1.462,-14%
Bayern,12.234,93,11.319,86,-915,-7%
Berlin,3.020,82,2.671,73,-349,-12%
Brandenburg,1.072,42,944,37,-128,-12%
Bremen,752,111,754,111,2,+0%
Hamburg,1.216,66,1.182,64,-34,-3%
Hessen,5.020,80,4.238,67,-782,-16%
Mecklenburg-Vorpommern,510,32,552,34,42,+8%
Niedersachsen,4.767,60,3.781,47,-986,-21%
Nordrhein-Westfalen,13.459,75,10.595,59,-2.864,-21%
Rheinland-Pfalz,3.187,78,2.506,61,-681,-21%
Saarland,612,62,569,58,-43,-7%
Sachsen,1.711,42,1.785,44,74,+4%
Sachsen-Anhalt,850,39,808,37,-42,-5%
Schleswig-Holstein,1.063,37,892,31,-171,-16%
Thüringen,1.223,58,1.199,57,-24,-2%
Gesamt,61.349,74,52.986,64,-8.363,-14%
