0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59  60 Jahre,,
Jahre,Jahre,Jahre,und älter,
Symptomatische COVID-19-Fälle,45.246,31.310,265.005,44.938
davon… ungeimpft,38.975,15.447,57.747,8.705
grundimmunisiert,6.020,10.225,62.001,5.599
mit Auffrischimpfung,251,5.638,145.257,30.634
Hospitalisierte symptomatische COVID-19-Fälle,181,116,1.432,1.989
davon… ungeimpft,154,69,507,839
grundimmunisiert,26,35,348,258
mit Auffrischimpfung,1,12,577,892
Auf Intensivstation betreute symptomatische COVID-19-Fälle,3,0,44,190
davon… ungeimpft,3,0,26,109
grundimmunisiert,0,0,9,25
mit Auffrischimpfung,0,0,9,56
Verstorbene symptomatische COVID-19-Fälle,0,1,16,343
davon… ungeimpft,0,1,7,181
grundimmunisiert,0,0,4,44
mit Auffrischimpfung,0,0,5,118
