0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,87.980.020,6.866.990,,
KW48/2021,,,,
49/2021,1.742.018,342.631,"19,7",212
50/2021,1.556.794,286.958,"18,4",206
51/2021,1.244.761,202.568,"16,3",207
52/2021,960.437,206.409,"21,5",210
1/2022,1.499.030,341.569,"22,8",213
2/2022,2.052.343,501.078,"24,4",209
3/2022,2.516.844,807.011,"32,1",212
4/2022,2.553.887,1.032.180,"40,4",212
5/2022,2.602.438,1.159.943,"44,6",210
6/2022,2.455.265,1.087.231,"44,3",194
Summe,107.163.837,12.834.568,,
