0,1,2,3,4
"Impfzentren, Mobile Teams,",Arztpraxen,,,
Bundesland,"Krankenhäuser,",(Vertragsärzte und,Betriebsärzte,Apotheken
Gesundheitsämter,Privatärzte),,,
Baden–Württemberg,10.429.378,11.169.198,559.010,1.633
Bayern,13.538.711,12.080.198,615.986,2.271
Berlin,3.703.260,3.821.903,135.246,2.093
Brandenburg,2.041.538,2.591.368,31.065,263
Bremen,1.013.907,541.819,44.667,34
Hamburg,1.814.631,2.048.569,179.604,908
Hessen,6.199.803,6.162.890,353.037,1.326
Mecklenburg-,,,,
1.534.117,1.661.329,21.645,426,
Vorpommern,,,,
Niedersachsen,7.720.111,8.911.199,362.458,2.489
Nordrhein-Westfalen,16.811.768,20.646.297,979.779,11.111
Rheinland-Pfalz,3.901.978,4.304.039,231.755,876
Saarland,1.076.210,1.080.595,47.027,853
Sachsen,3.476.932,3.476.573,97.852,1.658
Sachsen-Anhalt,2.040.192,2.112.953,47.195,460
Schleswig-Holstein,3.037.304,3.389.410,120.318,574
Thüringen,2.309.765,1.605.639,31.451,72
Gesamt,80.649.605,85.603.979,3.858.095,27.047
