0,1,2,3,4,5,6
Alter 12-17,Alter 18-59,Alter ≥60 Jahre,,,,
Kumuliert,KW,Kumuliert,KW,Kumuliert,KW,
seit KW 05,38-41,seit KW 05,38-41,seit KW 05,38-41,
Symptomatische COVID-19-Fälle,,,,,,
89.988,15.495,782.349,90.371,156.506,16.699,
(mit Angabe Impfstatus),,,,,,
Wahrscheinliche Impfdurchbrüche unter,,,,,,
959,474,73.380,31.386,21.148,9.522,
symptomatischen COVID-19-Fällen,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"1,1%","3,1%","9,4%","34,7%","13,5%","57,0%",
unter symptomatischen COVID-19-Fällen,,,,,,
Anteil vollständig Geimpfte in der Bevöl-,,,,,,
"35,3%",-,"70,5%",-,"84,4%",-,
kerung (Impfquote) [%] a),,,,,,
Wahrscheinliche Impfdurchbrüche und VOC b),,,,,,
Wahrscheinliche Impfdurchbrüche mit,481,226,39.633,15.787,11.610,4845
Angaben zu VOC b),,,,,,
-,davon mit Delta-Variante,,,,,
464/96%,220/97%,37.635/95%,15.624/99%,10.066/87%,4.795/99%,
(B.1.617.2),,,,,,
Wahrscheinliche Impfdurchbrüche und Krankheitsschwere,,,,,,
Hospitalisierte COVID-19-Fälle (sympto-,832,97,31.558,2.766,35.346,2.996
matisch mit Angabe Impfstatus),,,,,,
Hospitalisierte COVID-19-Fälle mit wahr-,7,3,1.274,481,3.396,1.260
scheinlichem Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,"0,8%","3,1%","4,0%","17,4%","9,6%","42,1%"
an hospitalisierten COVID-19-Fällen,,,,,,
COVID-19-Fälle auf Intensivstation,,,,,,
(symptomatisch mit Angabe zum,33,5,3.586,383,5.640,558
Impfstatus),,,,,,
Auf Intensivstation betreute COVID-19-,,,,,,
Fälle mit wahrscheinlichem Impfdurch-,0,0,104,46,451,167
bruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,0%","0,0%","2,9%","12,0%","8,0%","29,9%",
an COVID-19-Fällen auf Intensivstation,,,,,,
Verstorbene COVID-19-Fälle (symptoma-,,,,,,
2,0,1.286,31,10.577,517,
tisch mit Angabe zum Impfstatus),,,,,,
COVID-19-Fälle mit wahrscheinlichem,,,,,,
0,0,9,2,934,214,
"Impfdurchbruch, die verstorben sind",,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,0%",--,"0,7%","6,5%","8,8%","41,4%",
an verstorbenen COVID-19-Fällen,,,,,,
a),"Dazu zählen alle Impfserien in Deutschland mit 1 Dosis (Janssen-Vakzine) bzw. 2 Dosen (Moderna-, BioNTech- oder AstraZeneca-",,,,,
"Vakzine), wenn mindestens zwei Wochen seit der letzten Dosis vergangen sind.",,,,,,
b),Aufgrund der in Deutschland vorherrschenden Delta-Variante werden die anderen VOC seit 19.08.2021 nicht mehr ausgewie-,,,,,
