0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,79.363.385,5.216.863,,
KW43/2021,,,,
44/2021,1.195.791,188.906,"15,80",212
45/2021,1.636.434,279.812,"17,10",213
46/2021,1.869.620,366.923,"19,63",212
47/2021,1.950.937,409.645,"21,00",210
48/2021,1.948.754,401.116,"20,58",211
49/2021,1.739.153,341.455,"19,63",210
50/2021,1.555.106,286.883,"18,45",203
51/2021,1.243.371,202.501,"16,29",204
52/2021,959.225,206.348,"21,51",207
01/2022,1.488.511,340.114,"22,85",207
Summe,94.950.287,8.240.566,,
