0,1,2,3,4,5,6
Meldewoche 10,Meldewoche 11,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,224.391,2.021,227.606,2.050,3.215,+1%
Bayern,279.078,2.124,296.808,2.259,17.730,+6%
Berlin,30.473,832,41.114,1.122,10.641,+35%
Brandenburg,40.240,1.590,39.631,1.566,-609,-2%
Bremen,6.181,909,9.764,1.436,3.583,+58%
Hamburg,18.013,972,22.868,1.234,4.855,+27%
Hessen,72.778,1.156,85.986,1.366,13.208,+18%
Mecklenburg-,,,,,,
35.583,2.209,40.348,2.505,4.765,+13%,
Vorpommern,,,,,,
Niedersachsen,128.076,1.600,153.037,1.912,24.961,+19%
Nordrhein-Westfalen,265.698,1.482,272.410,1.520,6.712,+3%
Rheinland-Pfalz,62.604,1.528,69.549,1.697,6.945,+11%
Saarland,18.934,1.924,22.137,2.250,3.203,+17%
Sachsen,83.180,2.050,105.539,2.601,22.359,+27%
Sachsen-Anhalt,44.035,2.019,46.905,2.151,2.870,+7%
Schleswig-Holstein,40.773,1.401,47.383,1.628,6.610,+16%
Thüringen,43.098,2.033,47.291,2.230,4.193,+10%
Gesamt,1.393.135,1.675,1.528.376,1.838,135.241,+10%
