0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Kranken-",Arztpraxen (Vertragsärzte und Privat-,Betriebsärzte,,,,,,,
häuser,ärzte),,,,,,,,
Bundesland,Erst-impfun-,Zweit-imp-,Auffri-,Erst-impfun-,Zweit-imp-,Auffri-,Erst-impfun-,Zweit-imp-,Auffri-
gen,fungen,schungs-imp-,gen,fungen,schungs-imp-,gen,fungen,schungs-imp-,
fungen,fungen,fungen,,,,,,,
Baden-Würt-,,,,,,,,,
4.307.000,3.922.354,76.534,2.757.712,2.455.366,41.344,182.296,172.491,152,
temberg,,,,,,,,,
Bayern,4.737.201,4.320.728,40.130,3.532.566,3.177.473,39.000,220.634,205.911,141
Berlin,1.410.127,1.297.661,25.508,1.016.469,900.586,23.265,41.206,43.443,23
Brandenburg,813.301,749.029,4.754,729.142,615.907,6.410,10.041,9.317,6
Bremen,362.522,320.688,8.153,157.858,134.862,1.497,15.911,13.273,2
Hamburg,750.028,685.195,1.679,510.410,433.837,5.893,64.313,61.127,20
Hessen,2.484.100,2.187.801,35.948,1.662.176,1.478.369,21.612,111.454,106.197,94
Mecklenburg-,,,,,,,,,
569.095,511.859,5.250,480.996,433.534,3.690,5.813,5.402,6,
Vorpommern,,,,,,,,,
Niedersachsen,3.132.345,2.722.679,4.049,2.406.386,2.095.978,21.860,109.178,99.062,67
Nordrhein-,,,,,,,,,
6.958.665,6.263.019,34.076,5.693.226,4.817.982,134.111,343.794,304.602,3.174,
Westfalen,,,,,,,,,
Rheinland-,,,,,,,,,
1.650.056,1.445.332,14.225,1.139.645,986.340,24.966,64.338,59.064,37,
Pfalz,,,,,,,,,
Saarland,427.147,394.036,2.988,287.112,247.152,3.657,14.852,13.578,13
Sachsen,1.411.459,1.288.764,5.554,903.966,812.646,7.724,23.501,21.782,5
Sachsen-An-,,,,,,,,,
793.591,714.331,8.817,574.163,504.146,10.478,11.858,10.808,4,
halt,,,,,,,,,
Schleswig-Hol-,,,,,,,,,
1.160.988,1.057.665,17.777,918.765,800.601,24.609,34.540,34.356,167,
stein,,,,,,,,,
Thüringen,820.146,742.429,10.288,451.488,415.870,4.983,11.207,9.833,2
Gesamt,31.787.771,28.623.570,295.730,23.222.080,20.310.649,375.099,1.264.936,1.170.246,3.913
