0,1,2,3,4,5,6,7
Alter 12-17,Alter 18-59,Alter ≥60 Jahre,,,,,
Kumuliert,KW,Kumuliert,KW,Kumuliert,KW,,
seit KW 05,32-35,seit KW 05,32-35,seit KW 05,32-35,,
Symptomatische COVID-19-Fälle,79.433,14.575,817.350,85.750,177.498,7.941,
(gesamt),,,,,,,
Wahrscheinliche Impfdurchbrüche,237,166,23.834,15.410,6.809,3.323,
Anteil wahrscheinliche Impfdurchbrüche,"0,3%","1,1%","2,9%","18,0%","3,8%","41,8%",
unter symptomatischen COVID-19-,,,,,,,
Fällen,,,,,,,
Anteil vollständig Geimpfte in der,,,,,,,
"17,9%",-,"63,2%",-,"82,0%",,,
Bevölkerung (Impfquote) [%] a),,,,,,,
Wahrscheinliche Impfdurchbrüche und VOC b),,,,,,,
Wahrscheinliche Impfdurchbrüche mit,124,82,12.979,7.989,3.807,1755,
Angaben zu VOC b),,,,,,,
-,davon mit Delta-Variante,113/91%,79/96%,11265/87,7892/99%,2363/62%,1734/99
(B.1.617.2),%,%,,,,,
Wahrscheinliche Impfdurchbrüche und Krankheitsschwere,,,,,,,
Hospitalisierte COVID-19-Fälle gesamt,1.189,182,42.647,4.836,63.231,2.590,
Hospitalisierte COVID-19-Fälle mit,2,2,446,274,1314,513,
wahrscheinlichem Impfdurchbruch,,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,"0,2%","1,1%","1,0%","5,7%","2,1%","19,8%",
an hospitalisierten COVID-19-Fällen,,,,,,,
COVID-19-Fälle auf Intensivstation,27,2,3.716,496,7.156,411,
gesamt,,,,,,,
Auf Intensivstation betreute COVID-19-,0,0,27,21,145,78,
Fälle mit wahrscheinlichem,,,,,,,
Impfdurchbruch,,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,"0,0%","0,0%","0,7%","4,2%","2,0%","19,0%",
an COVID-19-Fällen auf Intensivstation,,,,,,,
Verstorbene COVID-19-Fälle gesamt,2,1,1.948,54,20.293,338,
COVID-19-Fälle mit wahrscheinlichem,0,0,1,0,448,92,
"Impfdurchbruch, die verstorben sind",,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,"0,0%","0,0%","0,1%","0,0%","2,2%","27,2%",
an verstorbenen COVID-19-Fällen,,,,,,,
a),"Dazu zählen alle Impfserien in Deutschland mit 1 Dosis (Janssen-Vakzine) bzw. 2 Dosen (Moderna-, BioNTech- oder AstraZeneca-",,,,,,
"Vakzine), wenn mindestens zwei Wochen seit der letzten Dosis vergangen sind.",,,,,,,
b),Aufgrund der in Deutschland vorherrschenden Delta-Variante werden die anderen VOC seit 19.08.2021 nicht mehr ausgewiesen.,,,,,,
Interpretation und Abschätzung der Impfeffektivität,,,,,,,
Der bei weitem größte Teil der seit der 5. KW übermittelten COVID-19-Fälle war nicht geimpft. Durch,,,,,,,
einen Vergleich des Anteils vollständig Geimpfter unter COVID-19-Fällen mit dem Anteil vollständig,,,,,,,
"Geimpfter in der Bevölkerung ist es möglich, die Wirksamkeit der Impfung grob abzuschätzen (sog.",,,,,,,
Screening-Methode nach Farrington https://pubmed.ncbi.nlm.nih.gov/8225751/ ). Die nach dieser,,,,,,,
Methode geschätzte Impfeffektivität liegt für den Gesamtbeobachtungszeitraum 5.-35. KW für die,,,,,,,
Altersgruppe 18-59 Jahre bei ca. 87 % und für die Altersgruppe ≥60 Jahre bei ca. 86 %. Für den,,,,,,,
Zeitraum der letzten vier Wochen (32.-35. KW) liegt die geschätzte Impfeffektivität für die Altersgruppe,,,,,,,
18-59 Jahre bei ca. 85 % und für die Altersgruppe ≥60 Jahre bei ca. 83 %.,,,,,,,
Geschätzte Impfeffektivität gegen weitere COVID-19-assoziierte Endpunkte für den Zeitraum der,,,,,,,
letzten vier Wochen (32.-35. KW):,,,,,,,
-,Schutz vor Hospitalisierung: ca. 96 % (Alter 18-59 Jahre) bzw. ca. 94 % (Alter ≥60 Jahre),,,,,,
-,Schutz vor Behandlung auf Intensivstation: ca. 97 % (Alter 18-59 Jahre) bzw. ca. 94 % (Alter,,,,,,
