0,1,2,3,4,5,6
Meldewoche 44,Meldewoche 45,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,27.053,244,44.219,398,17.166,+63%
Bayern,45.669,348,73.433,559,27.764,+61%
Berlin,7.601,207,11.962,326,4.361,+57%
Brandenburg,6.111,241,9.859,390,3.748,+61%
Bremen,597,88,758,111,161,+27%
Hamburg,2.746,148,3.469,187,723,+26%
Hessen,9.697,154,12.021,191,2.324,+24%
Mecklenburg-Vorpommern,2.272,141,3.019,187,747,+33%
Niedersachsen,8.610,108,10.970,137,2.360,+27%
Nordrhein-Westfalen,23.038,129,31.683,177,8.645,+38%
Rheinland-Pfalz,5.711,139,7.512,183,1.801,+32%
Saarland,1.089,111,1.863,189,774,+71%
Sachsen,21.154,521,33.759,832,12.605,+60%
Sachsen-Anhalt,4.652,213,7.636,350,2.984,+64%
Schleswig-Holstein,2.236,77,2.978,102,742,+33%
Thüringen,9.288,438,11.690,551,2.402,+26%
Gesamt,177.524,213,266.831,321,89.307,+50%
