0,1,2,3,4
Kalenderwoche,Anzahl Testun-,Positiv getestet,Positivenanteil,Anzahl über-
(KW),gen,(%),mittelnder La-,
bore,,,,
Bis einschließlich,,,,
68.881.309,4.358.159,,,
KW 32/2021,,,,
33/2021,690.888,53.966,"7,81",205
34/2021,861.596,70.512,"8,18",208
35/2021,946.737,82.091,"8,67",210
36/2021,1.010.977,80.004,"7,91",211
37/2021,982.150,72.640,"7,40",213
38/2021,961.979,61.593,"6,40",210
39/2021,963.970,61.710,"6,40",209
40/2021,955.740,62.156,"6,50",206
41/2021,842.373,69.182,"8,21",197
42/2021,895.794,98.049,"10,95",194
Summe,77.993.513,5.070.062,,
