0,1,2,3,4,5,6
Alter 12-17,Alter 18-59,Alter ≥60 Jahre,,,,
Kumuliert,KW,Kumuliert,KW,Kumuliert,KW,
seit KW 05,30-33,seit KW 05,30-33,seit KW 05,30-33,
Symptomatische COVID-19-Fälle,7.609,763.266,52.352,171.915,4.342,
69.871,,,,,,
(gesamt),,,,,,
Wahrscheinliche Impfdurchbrüche,122,86,13.710,8.317,4.501,1.673
Anteil wahrscheinliche Impfdurchbrüche,"0,17%","1,1%","1,8%","15,9%","2,6%","38,5%"
unter symptomatischen COVID-19-,,,,,,
Fällen,,,,,,
Anteil vollständig Geimpfte in der,12%,-,57%,-,81%,
Bevölkerung (Impfquote) [%],,,,,,
Wahrscheinliche Impfdurchbrüche und VOC,,,,,,
Wahrscheinliche Impfdurchbrüche mit,70,46,7.469,4.428,2.573,935
Angaben zu VOC,,,,,,
-,davon mit Delta-Variante,,,,,
62 (89%),46 (100%),5837 (78%),4362 (98%),1.211 (41%),964 (98%),
(B.1.617.2),,,,,,
Wahrscheinliche Impfdurchbrüche und Krankheitsschwere,,,,,,
Hospitalisierte COVID-19-Fälle gesamt,1.078,105,39.464,2.657,61.448,1.436
Hospitalisierte COVID-19-Fälle mit,1,1,263,163,956,254
wahrscheinlichem Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,1%","1,0%","0,7%","6,1%","1,6%","17,7%",
an hospitalisierten COVID-19-Fällen,,,,,,
COVID-19-Fälle auf Intensivstation,,,,,,
25,2,3.330,223,6.834,206,
gesamt,,,,,,
Auf Intensivstation betreute COVID-19-,,,,,,
Fälle mit wahrscheinlichem,0,0,15,9,87,29
Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
0%,0%,"0,5%","4,0%","1,3%","14,1%",
an COVID-19-Fällen auf Intensivstation,,,,,,
Verstorbene COVID-19-Fälle gesamt,1,0,1.887,22,19.977,160
COVID-19-Fälle mit wahrscheinlichem,,,,,,
0,0,2,1,365,36,
"Impfdurchbruch, die verstorben sind",,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
0%,-,"0,1%","4,5%","1,8%","22,5%",
