0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Grundimmunisierung,,,,
Anteil nur grundimmunisierte Bevölkerung14,17%,49%,57%,54%
Anteil nur grundimmunisierter hospitalisierte Fälle14,16%,36%,42%,22%
Geschätzte Impfeffektivität gegenüber Hospitalisierung,8%,42%,46%,77%
Auffrischimpfung,,,,
Anteil Bevölkerung mit Auffrischimpfung,14,,,
0%,45%,78%,89%,
Anteil hospitalisierte Fälle mit Auffrischimpfung14,1%,22%,55%,52%
Geschätzte Impfeffektivität gegenüber Hospitalisierung,--,64%,67%,87%
