0,1,2,3,4,5,6
Meldewoche 09,Meldewoche 10,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,176.408,1.589,222.016,2.000,45.608,+26%
Bayern,212.560,1.618,274.402,2.088,61.842,+29%
Berlin,33.862,924,30.116,822,-3.746,-11%
Brandenburg,37.832,1.495,40.102,1.584,2.270,+6%
Bremen,4.917,723,6.176,908,1.259,+26%
Hamburg,14.277,771,17.488,944,3.211,+22%
Hessen,60.965,969,72.237,1.148,11.272,+18%
Mecklenburg-,,,,,,
28.468,1.767,35.596,2.210,7.128,+25%,
Vorpommern,,,,,,
Niedersachsen,104.039,1.300,124.698,1.558,20.659,+20%
Nordrhein-Westfalen,225.050,1.255,260.353,1.452,35.303,+16%
Rheinland-Pfalz,50.660,1.236,61.601,1.503,10.941,+22%
Saarland,14.271,1.450,18.946,1.925,4.675,+33%
Sachsen,60.300,1.486,81.875,2.018,21.575,+36%
Sachsen-Anhalt,38.764,1.778,44.029,2.019,5.265,+14%
Schleswig-Holstein,28.888,992,40.664,1.397,11.776,+41%
Thüringen,31.590,1.490,42.753,2.016,11.163,+35%
Gesamt,1.122.851,1.350,1.373.052,1.651,250.201,+22%
