0,1,2,3,4,5,6
"Impfzentren, Mobile Teams,",Arztpraxen (Vertrags- und,,,,,
Betriebsärzt:innen,,,,,,
Bundesland,Krankenhäuser,Privatärzt:innen),,,,
Erstimpfungen,Zweitimpfungen,Erstimpfungen,Zweitimpfungen,Erstimpfungen,Zweitimpfungen,
Baden-Württemberg,4.182.093,3.795.199,2.669.512,2.371.015,179.696,170.212
Bayern,4.608.948,4.171.771,3.435.333,3.070.153,214.972,199.230
Berlin,1.389.695,1.263.443,980.155,849.768,40.282,40.453
Brandenburg,799.654,730.036,700.256,581.656,9.896,9.179
Bremen,351.659,307.817,151.832,129.135,15.434,13.371
Hamburg,737.164,672.615,486.001,398.581,63.795,58.490
Hessen,2.420.308,2.099.187,1.605.489,1.413.655,108.815,105.145
Mecklenburg-,,,,,,
556.656,499.363,466.815,412.604,5.645,5.274,
Vorpommern,,,,,,
Niedersachsen,3.087.363,2.603.683,2.311.015,2.010.592,105.218,95.646
Nordrhein-Westfalen,6.776.875,5.967.794,5.514.107,4.572.734,337.816,296.142
Rheinland-Pfalz,1.602.894,1.388.066,1.101.858,946.143,52.305,57.462
Saarland,419.103,380.433,278.079,237.389,14.580,13.389
Sachsen,1.374.336,1.251.232,869.924,776.783,23.106,21.416
Sachsen-Anhalt,778.423,695.555,551.319,481.915,11.695,10.587
Schleswig-Holstein,1.133.666,998.743,895.689,759.593,33.504,32.436
Thüringen,802.455,729.330,436.820,398.822,11.158,9.808
Gesamt,31.021.292,27.554.267,22.454.204,19.410.538,1.227.917,1.138.240
