0,1,2,3,4
Anzahl,,,,
Kalenderwoche,Positiv,Positivenanteil,,
Anzahl Testungen,übermittelnder,,,
(KW),getestet,(%),,
Labore,,,,
Bis einschließlich,,,,
64.591.415,4.247.565,,,
KW25/2021,,,,
26/2021,726.832,5.890,"0,81",214
27/2021,612.225,6.872,"1,12",212
28/2021,607.770,9.864,"1,62",208
29/2021,594.342,13.804,"2,32",208
30/2021,583.319,17.108,"2,93",207
31/2021,587.999,22.448,"3,82",208
32/2021,567.948,34.255,"6,03",204
33/2021,690.888,53.966,"7,81",205
34/2021,852.589,70.260,"8,24",205
35/2021,933.983,80.916,"8,66",201
Summe,71.349.310,4.562.948,,
