0,1,2,3,4
"Impfzentren, Mobile Teams,",Arztpraxen,,,
Bundesland,"Krankenhäuser,",(Vertragsärzte und,Betriebsärzte,Apotheken
Gesundheitsämter,Privatärzte),,,
Baden–Württemberg,10.393.699,11.082.858,557.664,946
Bayern,13.470.720,11.988.832,614.371,1.254
Berlin,3.689.879,3.787.513,135.001,1.343
Brandenburg,2.034.141,2.562.493,30.939,139
Bremen,1.008.639,536.873,44.542,20
Hamburg,1.806.672,1.982.475,178.987,589
Hessen,6.164.128,6.102.909,352.046,872
Mecklenburg-Vorpommern,1.525.530,1.641.000,21.492,310
Niedersachsen,7.671.302,8.816.731,361.245,1.135
Nordrhein-Westfalen,16.725.658,20.464.290,975.995,5.517
Rheinland-Pfalz,3.882.438,4.263.427,230.837,394
Saarland,1.070.730,1.072.340,46.976,570
Sachsen,3.456.121,3.435.691,96.921,1.163
Sachsen-Anhalt,2.030.953,2.082.185,46.997,206
Schleswig-Holstein,3.018.987,3.300.844,118.643,240
Thüringen,2.299.260,1.582.081,31.262,50
Gesamt,80.248.857,84.702.542,3.843.918,14.748
