0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre und,
Jahre,Jahre,Jahre,älter,
Symptomatische COVID-19-Fälle¹,53.831,31.714,118.751,21.245
davon mit Auffrischimpfung²,4,21,3.876,2.720
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","0,1%","3,3%","12,8%"
Hospitalisierte symptomatische COVID-19-Fälle¹,187,160,3.044,4.024
davon mit Auffrischimpfung²,0,0,54,387
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","0,0%","1,8%","9,6%"
Auf Intensivstation betreute symptomatische,,,,
5,6,483,782,
COVID-19-Fälle¹,,,,
davon mit Auffrischimpfung²,0,0,5,51
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","0,0%","1,0%","6,5%"
Verstorbene symptomatische COVID-19-Fälle¹ ³,0,0,140,1.062
davon mit Auffrischimpfung²,0,0,6,115
Anteil Impfdurchbrüche (Auffrischimpfung),-,-,"4,3%","10,8%"
