0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59 60 Jahre,,
Jahre,Jahre,Jahre,und älter,
Symptomatische COVID-19-Fälle,41.622,29.971,261.059,46.403
davon… ungeimpft,34.935,14.144,53.719,8.950
grundimmunisiert,6.390,9.764,57.874,5.313
mit Auffrischimpfung,297,6.063,149.466,32.140
Hospitalisierte symptomatische COVID-19-Fälle,156,109,1.319,1.980
davon… ungeimpft,128,60,453,842
grundimmunisiert,27,34,323,237
mit Auffrischimpfung,1,15,543,901
Auf Intensivstation betreute symptomatische COVID-19-Fälle,2,0,30,188
davon… ungeimpft,2,0,15,99
grundimmunisiert,0,0,6,19
mit Auffrischimpfung,0,0,9,70
Verstorbene symptomatische COVID-19-Fälle,0,1,11,324
davon… ungeimpft,0,1,5,158
grundimmunisiert,0,0,2,45
mit Auffrischimpfung,0,0,4,121
