0,1,2,3,4,5,6
Meldewoche 45,Meldewoche 46,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,44.400,400,52.485,473,8.085,+18%
Bayern,74.724,569,88.703,675,13.979,+19%
Berlin,12.079,330,13.482,368,1.403,+12%
Brandenburg,9.900,391,15.195,600,5.295,+53%
Bremen,756,111,1.208,178,452,+60%
Hamburg,3.466,187,4.100,221,634,+18%
Hessen,12.064,192,15.454,246,3.390,+28%
Mecklenburg-Vorpommern,3.040,189,4.472,278,1.432,+47%
Niedersachsen,11.026,138,14.929,187,3.903,+35%
Nordrhein-Westfalen,31.745,177,43.771,244,12.026,+38%
Rheinland-Pfalz,7.537,184,10.737,262,3.200,+42%
Saarland,1.859,189,3.452,351,1.593,+86%
Sachsen,35.706,880,44.790,1.104,9.084,+25%
Sachsen-Anhalt,7.662,351,12.871,590,5.209,+68%
Schleswig-Holstein,2.980,102,4.050,139,1.070,+36%
Thüringen,11.766,555,14.247,672,2.481,+21%
Gesamt,270.710,326,343.946,414,73.236,+27%
