0,1,2,3,4,5,6
Meldewoche 42,Meldewoche 43,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,16.209,146,22.185,200,5.976,+37%
Bayern,26.027,198,34.935,266,8.908,+34%
Berlin,4.495,123,5.725,156,1.230,+27%
Brandenburg,2.293,91,3.417,135,1.124,+49%
Bremen,450,66,578,85,128,+28%
Hamburg,2.059,111,2.342,126,283,+14%
Hessen,5.178,82,8.127,129,2.949,+57%
Mecklenburg-Vorpommern,1.020,63,1.517,94,497,+49%
Niedersachsen,5.143,64,6.504,81,1.361,+26%
Nordrhein-Westfalen,13.207,74,20.408,114,7.201,+55%
Rheinland-Pfalz,3.156,77,4.348,106,1.192,+38%
Saarland,522,53,712,72,190,+36%
Sachsen,8.576,211,12.226,301,3.650,+43%
Sachsen-Anhalt,2.261,104,3.017,138,756,+33%
Schleswig-Holstein,1.731,59,2.136,73,405,+23%
Thüringen,4.883,230,6.680,315,1.797,+37%
Gesamt,97.210,117,134.857,162,37.647,+39%
