0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Symptomatische COVID-19-Fälle,6.947,6.817,48.760,5.352
davon… ungeimpft,6.879,3.640,11.383,1.069
grundimmunisiert,57,2.991,24.035,1.704
mit Auffrischimpfung,11,186,13.342,2.579
Hospitalisierte symptomatische COVID-19-Fälle,21,27,429,250
davon… ungeimpft,21,14,168,96
grundimmunisiert,0,12,189,62
mit Auffrischimpfung,0,1,72,92
Auf Intensivstation betreute symptomatische COVID-19-Fälle,1,0,16,25
davon… ungeimpft,1,0,6,13
grundimmunisiert,0,0,7,7
mit Auffrischimpfung,0,0,3,5
Verstorbene symptomatische COVID-19-Fälle,1,0,2,51
davon… ungeimpft,1,0,2,22
grundimmunisiert,0,0,0,14
mit Auffrischimpfung,0,0,0,15
