0,1,2,3,4
Anzahl,,,,
Kalenderwoche,Positiv,Positivenanteil,,
Anzahl Testungen,übermittelnder,,,
(KW),getestet,(%),,
Labore,,,,
Bis einschließlich,,,,
63.878.606,4.240.692,,,
KW24/2021,,,,
25/2021,714.477,6.927,"0,97",209
26/2021,726.832,5.890,"0,81",214
27/2021,612.225,6.872,"1,12",212
28/2021,605.921,9.854,"1,63",207
29/2021,592.512,13.779,"2,33",207
30/2021,581.423,17.091,"2,94",206
31/2021,586.281,22.431,"3,83",207
32/2021,564.630,34.180,"6,05",202
33/2021,682.995,53.772,"7,87",202
34/2021,833.335,69.594,"8,35",196
Summe,70.379.237,4.481.082,,
