0,1,2,3,4,5,6
Meldewoche 51,Meldewoche 52,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,25.388,229,27.579,248,2.191,+9%
Bayern,25.940,197,26.114,199,174,+1%
Berlin,11.559,315,11.387,311,-172,-1%
Brandenburg,10.145,401,9.332,369,-813,-8%
Bremen,1.856,273,3.235,476,1.379,+74%
Hamburg,6.446,348,8.602,464,2.156,+33%
Hessen,11.090,176,14.155,225,3.065,+28%
Mecklenburg-Vorpommern,4.838,300,4.464,277,-374,-8%
Niedersachsen,10.715,134,14.684,183,3.969,+37%
Nordrhein-Westfalen,34.460,192,39.635,221,5.175,+15%
Rheinland-Pfalz,6.311,154,7.271,177,960,+15%
Saarland,1.796,183,2.087,212,291,+16%
Sachsen,18.236,450,13.861,342,-4.375,-24%
Sachsen-Anhalt,9.076,416,6.477,297,-2.599,-29%
Schleswig-Holstein,4.295,148,8.421,289,4.126,+96%
Thüringen,11.780,556,8.653,408,-3.127,-27%
Gesamt,193.931,233,205.957,248,12.026,+6%
