0,1,2,3,4
Kalenderwoche,Anzahl Testun-,Positiv getestet,Positivenanteil,Anzahl über-
(KW),gen,(%),mittelnder La-,
bore,,,,
Bis einschließlich,,,,
74.458.782,4.782.714,,,
KW38/2021,,,,
39/2021,968.394,61.768,"6,38",212
40/2021,962.234,62.221,"6,47",211
41/2021,862.348,69.723,"8,09",209
42/2021,909.936,98.656,"10,84",205
43/2021,1.166.376,141.291,"12,11",213
44/2021,1.194.338,188.873,"15,81",211
45/2021,1.629.000,278.982,"17,13",211
46/2021,1.861.289,365.882,"19,66",210
47/2021,1.942.196,408.566,"21,04",206
48/2021,1.897.505,395.714,"20,85",200
Summe,87.852.398,6.854.390,,
