0,1,2,3,4,5
Altersgruppe,,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,,
Jahre,Jahre,Jahre,und älter,,
Symptomatische COVID-19-Fälle¹,797,850,9.357,1.181,
davon…,ungeimpft,795,375,1.367,156
grundimmunisiert,2,465,6.168,540,
mit Auffrischimpfung,0,10,1.822,485,
Hospitalisierte symptomatische COVID-19-Fälle¹,1,5,91,43,
davon…,ungeimpft,1,2,21,12
grundimmunisiert,0,3,58,19,
mit Auffrischimpfung,0,0,12,12,
Auf Intensivstation betreute symptomatische COVID-19-Fälle¹,0,0,2,7,
davon…,ungeimpft,0,0,0,3
grundimmunisiert,0,0,1,2,
mit Auffrischimpfung,0,0,1,2,
Verstorbene symptomatische COVID-19-Fälle¹ ²,0,0,2,5,
davon…,ungeimpft,0,0,0,2
grundimmunisiert,0,0,0,2,
mit Auffrischimpfung,0,0,2,1,
