0,1,2,3,4,5,6
Meldewoche 06,Meldewoche 07,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,194.709,1.754,186.945,1.684,-7.764,-4%
Bayern,249.611,1.900,242.853,1.848,-6.758,-3%
Berlin,51.816,1.414,42.934,1.172,-8.882,-17%
Brandenburg,47.459,1.875,43.120,1.704,-4.339,-9%
Bremen,8.540,1.256,5.830,857,-2.710,-32%
Hamburg,26.371,1.424,19.040,1.028,-7.331,-28%
Hessen,100.611,1.599,78.117,1.241,-22.494,-22%
Mecklenburg-,,,,,,
22.310,1.385,22.897,1.421,587,+3%,
Vorpommern,,,,,,
Niedersachsen,102.048,1.275,93.707,1.171,-8.341,-8%
Nordrhein-Westfalen,292.903,1.634,233.574,1.303,-59.329,-20%
Rheinland-Pfalz,50.166,1.224,47.637,1.162,-2.529,-5%
Saarland,15.077,1.532,13.533,1.375,-1.544,-10%
Sachsen,55.002,1.356,54.656,1.347,-346,-1%
Sachsen-Anhalt,38.155,1.750,34.951,1.603,-3.204,-8%
Schleswig-Holstein,23.129,795,23.122,794,-7,0%
Thüringen,21.552,1.016,23.745,1.120,2.193,+10%
Gesamt,1.299.459,1.563,1.166.661,1.403,-132.798,-10%
