0,1,2,3,4,5,6
Meldewoche 05,Meldewoche 06,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,178.468,1.607,191.985,1.729,13.517,+8%
Bayern,249.480,1.899,248.056,1.888,-1.424,-1%
Berlin,65.669,1.792,49.857,1.361,-15.812,-24%
Brandenburg,43.407,1.715,47.382,1.872,3.975,+9%
Bremen,9.035,1.328,8.563,1.259,-472,-5%
Hamburg,33.985,1.835,25.680,1.386,-8.305,-24%
Hessen,110.487,1.756,100.062,1.590,-10.425,-9%
Mecklenburg-,,,,,,
Vorpommern,21.646,1.344,22.295,1.384,649,+3%
Niedersachsen,97.835,1.222,101.461,1.268,3.626,+4%
Nordrhein-Westfalen,283.984,1.584,287.195,1.602,3.211,+1%
Rheinland-Pfalz,50.150,1.224,49.657,1.212,-493,-1%
Saarland,14.446,1.468,15.090,1.534,644,+4%
Sachsen,43.223,1.065,54.454,1.342,11.231,+26%
Sachsen-Anhalt,27.569,1.264,38.003,1.743,10.434,+38%
Schleswig-Holstein,26.628,915,23.132,795,-3.496,-13%
Thüringen,16.478,777,21.453,1.012,4.975,+30%
Gesamt,1.272.490,1.530,1.284.325,1.544,11.835,+1%
