0,1,2,3,4,5,6
Alter 12-17,Alter 18-59,Alter ≥60 Jahre,,,,
Kumuliert,KW,Kumuliert,KW,Kumuliert,KW,
seit KW 05,33-36,seit KW 05,33-36,seit KW 05,33-36,
Symptomatische COVID-19-Fälle,84.582,17.331,846.636,98.223,181.357,10.195
(gesamt),,,,,,
Wahrscheinliche Impfdurchbrüche,323,227,30.369,19.145,8.536,4.360
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
unter symptomatischen COVID-19-,"0,4%","1,3%","3,6%","19,5%","4,7%","42,8%"
Fällen,,,,,,
Anteil vollständig Geimpfte in der,"20,6%",-,"64,9%",-,"82,6%",-
Bevölkerung (Impfquote) [%] a),,,,,,
Wahrscheinliche Impfdurchbrüche und VOC b),,,,,,
Wahrscheinliche Impfdurchbrüche mit,165,113,16.732,10.108,4.749,2274
Angaben zu VOC b),,,,,,
153/,109/,14973/,9996/,3288/,2246/,
-,davon mit Delta-Variante,,,,,
(B.1.617.2),93%,96%,89%,99%,69%,99%
Wahrscheinliche Impfdurchbrüche und Krankheitsschwere,,,,,,
Hospitalisierte COVID-19-Fälle gesamt,1.251,215,44.354,5.587,64.422,3.301
Hospitalisierte COVID-19-Fälle mit,,,,,,
3,3,554,327,1547,640,
wahrscheinlichem Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,2%","1,4%","1,2%","5,9%","2,4%","19,4%",
an hospitalisierten COVID-19-Fällen,,,,,,
COVID-19-Fälle auf Intensivstation,,,,,,
32,5,3.980,632,7.407,549,
gesamt,,,,,,
Auf Intensivstation betreute COVID-19-,,,,,,
Fälle mit wahrscheinlichem,0,0,35,26,175,93
Impfdurchbruch,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
"0,0%","0,0%","0,9%","4,1%","2,4%","16,9%",
an COVID-19-Fällen auf Intensivstation,,,,,,
Verstorbene COVID-19-Fälle gesamt,2,1,1.991,70,20.556,480
COVID-19-Fälle mit wahrscheinlichem,,,,,,
0,0,1,0,512,125,
"Impfdurchbruch, die verstorben sind",,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,
0%,0%,"0,1%",0%,"2,5%","26,0%",
an verstorbenen COVID-19-Fällen,,,,,,
a),"Dazu zählen alle Impfserien in Deutschland mit 1 Dosis (Janssen-Vakzine) bzw. 2 Dosen (Moderna-, BioNTech-",,,,,
