0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
92.541.533,7.699.173,,,
KW51/2021,,,,
52/2021,960.454,206.409,"21,5",211
1/2022,1.499.839,341.906,"22,8",214
2/2022,2.053.526,501.752,"24,4",210
3/2022,2.525.016,810.100,"32,1",214
4/2022,2.564.104,1.036.579,"40,4",215
5/2022,2.614.579,1.166.169,"44,6",214
6/2022,2.494.189,1.100.025,"44,1",209
7/2022,2.149.565,980.778,"45,6",211
8/2022,1.976.485,887.970,"44,9",205
9/2022,1.847.541,942.156,"51,0",198
Summe,113.226.831,15.673.017,,
