0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und Privatärzte),Betriebsärzte,,,,,,,
Krankenhäuser,,,,,,,,,
Bundesland,,,,,,,,,
Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,
impfungen,impfungen,impfungen,impfungen,impfungen,impfungen impfungen impfungen,impfungen,,,
Baden-,,,,,,,,,
4.497.695,4.044.345,1.214.018,3.298.096,3.051.120,3.318.638,192.369,181.863,99.436,
Württemberg,,,,,,,,,
Bayern,5.245.003,4.832.722,2.245.276,3.990.035,3.681.771,2.889.613,232.399,216.003,67.825
Berlin,1.508.020,1.374.747,512.089,1.214.341,1.094.247,937.320,42.152,44.497,20.318
Brandenburg,861.137,781.063,218.436,836.264,735.543,630.963,10.833,9.960,4.568
Bremen,402.571,348.353,148.352,175.305,157.812,130.428,16.648,13.589,6.674
Hamburg,813.192,727.455,134.982,589.635,530.730,482.387,69.393,64.368,19.080
Hessen,2.657.845,2.300.408,651.223,1.894.664,1.755.688,1.587.273,118.146,113.058,61.034
Mecklenburg-,,,,,,,,,
615.916,552.502,224.324,541.855,502.034,357.791,6.150,5.608,5.060,
Vorpommern,,,,,,,,,
Niedersachsen,3.255.753,2.808.384,956.403,2.712.904,2.492.284,2.457.761,116.544,106.281,88.594
Nordrhein-,,,,,,,,,
7.297.773,6.501.967,1.642.356,6.362.650,5.711.009,5.838.678,355.336,322.967,173.332,
Westfalen,,,,,,,,,
Rheinland-Pfalz,1.725.704,1.490.988,402.971,1.288.275,1.173.563,1.214.642,67.364,62.826,67.617
Saarland,451.977,409.725,131.552,323.300,290.050,325.935,15.643,14.427,9.732
Sachsen,1.504.820,1.362.173,345.958,1.040.176,972.703,906.287,25.978,24.064,22.220
Sachsen-,,,,,,,,,
848.482,754.444,238.563,661.456,613.479,501.935,13.116,11.529,12.143,
Anhalt,,,,,,,,,
Schleswig-,,,,,,,,,
1.211.642,1.101.028,376.196,1.023.168,932.193,841.151,37.539,37.579,21.881,
Holstein,,,,,,,,,
Thüringen,916.685,806.634,396.152,515.714,481.600,334.915,11.806,10.253,3.861
Gesamt,33.814.215 30.196.938,9.838.851,26.467.838,24.175.826,22.755.717,1.331.416 1.238.872,683.375,,
