0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Krankenhäuser",Arztpraxen (Vertragsärzte und Privat-,Betriebsärzte,,,,,,,
ärzte),,,,,,,,,
Bundesland,Erstimpfungen Zweitimpfun- Auffrischungs-,Erstimpfun-,Zweitimp-,Auffri-,Erstimpfungen Zweitimpfun-,Auffri-,,,
gen,impfungen,gen,fungen,schungsimp-,gen,schungsimp-,,,
fungen,fungen,,,,,,,,
Baden-Würt-,,,,,,,,,
4.331.623,3.947.948,93.703,2.862.238,2.622.493,144.306,183.690,174.251,424,
temberg,,,,,,,,,
Bayern,4.842.060,4.461.445,107.210,3.631.884,3.318.043,136.051,223.828,208.926,381
Berlin,1.431.811,1.325.994,59.460,1.054.731,952.764,72.044,41.343,43.745,70
Brandenburg,825.145,760.914,7.821,752.240,651.122,22.081,10.119,9.430,64
Bremen,371.599,328.768,14.248,162.410,143.164,6.264,16.010,13.318,6
Hamburg,765.115,697.869,10.566,537.344,473.629,22.497,65.832,62.275,29
Hessen,2.515.759,2.218.904,47.815,1.712.474,1.563.152,70.882,112.255,107.248,534
Mecklenburg-,,,,,,,,,
578.022,522.264,12.417,494.406,455.311,12.201,5.830,5.453,16,
Vorpommern,,,,,,,,,
Niedersachsen,3.138.728,2.725.927,21.918,2.490.658,2.222.948,94.976,110.147,100.688,1.007
Nordrhein-,,,,,,,,,
7.010.066,6.325.080,49.264,5.846.940,5.120.929,357.810,346.562,311.371,4.784,
Westfalen,,,,,,,,,
Rheinland-Pfalz,1.665.022,1.457.088,18.990,1.172.691,1.045.119,71.587,65.146,60.334,253
Saarland,433.529,399.501,7.611,294.859,260.085,11.683,15.047,14.027,31
Sachsen,1.428.511,1.309.934,10.433,933.417,862.649,31.698,23.749,22.117,61
Sachsen-Anhalt,799.503,721.535,11.648,595.239,536.256,28.290,11.903,10.886,15
Schleswig-Hol-,,,,,,,,,
1.167.617,1.059.191,19.140,943.459,848.321,71.153,34.887,34.694,337,
stein,,,,,,,,,
Thüringen,837.037,758.736,24.268,465.005,436.199,19.144,11.234,9.938,7
Gesamt,32.141.147,29.021.098,516.512,23.949.995,21.512.184,1.172.667,1.277.582,1.188.701,8.019
