0,1,2,3,4,5,6
Meldewoche 12,Meldewoche 13,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,206.640,1.861,165.468,1.490,-41.172,-20%
Bayern,309.828,2.358,245.278,1.867,-64.550,-21%
Berlin,44.042,1.202,33.407,912,-10.635,-24%
Brandenburg,37.313,1.474,28.595,1.130,-8.718,-23%
Bremen,10.644,1.565,12.683,1.865,2.039,+19%
Hamburg,28.224,1.524,25.670,1.386,-2.554,-9%
Hessen,102.542,1.629,94.328,1.499,-8.214,-8%
Mecklenburg-,,,,,,
38.145,2.368,29.148,1.810,-8.997,-24%,
Vorpommern,,,,,,
Niedersachsen,176.674,2.207,143.854,1.797,-32.820,-19%
Nordrhein-Westfalen,279.234,1.558,226.720,1.265,-52.514,-19%
Rheinland-Pfalz,77.241,1.885,68.715,1.677,-8.526,-11%
Saarland,22.454,2.282,20.786,2.112,-1.668,-7%
Sachsen,92.859,2.289,63.839,1.574,-29.020,-31%
Sachsen-Anhalt,47.156,2.162,33.612,1.541,-13.544,-29%
Schleswig-Holstein,46.740,1.606,42.200,1.450,-4.540,-10%
Thüringen,45.758,2.158,40.125,1.892,-5.633,-12%
Gesamt,1.565.494,1.883,1.274.428,1.533,-291.066,-19%
