0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und Privatärzte),Betriebsärzte,,,,,,,
Krankenhäuser,,,,,,,,,
Bundesland,,,,,,,,,
Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-,
impfungen,impfungen,impfungen,impfungen,impfungen,impfungen impfungen impfungen impfungen,,,,
Baden-,,,,,,,,,
4.460.143,4.012.199,877.423,3.244.179,2.980.372,2.826.470,191.483,180.533,81.554,
Württemberg,,,,,,,,,
Bayern,5.188.444,4.759.424,1.789.347,3.948.892,3.622.653,2.546.379,231.222,214.459,54.310
Berlin,1.489.499,1.359.587,403.455,1.195.577,1.071.534,830.333,42.013,44.276,14.943
Brandenburg,855.283,774.419,158.102,829.489,722.949,563.377,10.794,9.852,4.338
Bremen,396.953,343.346,113.151,174.058,156.101,113.983,16.615,13.496,4.932
Hamburg,807.139,722.994,101.823,583.373,523.026,406.991,69.126,64.019,15.979
Hessen,2.627.908,2.282.452,457.808,1.872.185,1.726.976,1.382.834,117.872,112.527,49.352
Mecklenburg-,,,,,,,,,
612.342,544.032,176.183,537.519,494.710,313.911,6.106,5.578,4.661,
Vorpommern,,,,,,,,,
Niedersachsen,3.233.056,2.785.510,686.995,2.688.516,2.458.940,2.123.208,115.024,105.175,71.646
Nordrhein-,,,,,,,,,
7.224.529,6.454.122,1.201.195,6.300.539,5.634.323,5.253.865,353.161,319.506,143.435,
Westfalen,,,,,,,,,
Rheinland-Pfalz,1.710.868,1.478.849,294.744,1.276.784,1.156.571,1.078.256,67.009,62.180,51.952
Saarland,448.793,407.085,96.904,320.367,285.373,287.506,15.603,14.352,8.335
Sachsen,1.488.706,1.347.232,255.411,1.029.851,955.034,813.337,25.575,23.635,18.697
Sachsen-,,,,,,,,,
841.319,744.456,177.814,656.934,601.447,451.984,13.062,11.419,11.393,
Anhalt,,,,,,,,,
Schleswig-,,,,,,,,,
1.201.221,1.093.032,284.891,1.016.796,921.840,761.194,37.059,36.851,16.646,
Holstein,,,,,,,,,
Thüringen,906.830,795.943,326.659,511.238,473.339,294.623,11.792,10.127,3.360
Gesamt,33.493.033,29.904.682,7.401.905,26.186.297,23.785.188,20.048.251,1.323.516 1.227.985,555.533,
