0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
95.001.826,8.247.488,,,
KW1/2022,,,,
2/2022,2.053.526,501.752,"24,4",210
3/2022,2.525.016,810.100,"32,1",214
4/2022,2.564.104,1.036.579,"40,4",215
5/2022,2.619.324,1.161.797,"44,4",215
6/2022,2.490.158,1.094.699,"44,0",211
7/2022,2.176.457,987.779,"45,4",215
8/2022,1.993.948,894.215,"44,8",209
9/2022,1.873.205,949.893,"50,7",211
10/2022,2.296.741,1.214.899,"52,9",212
11/2022,2.460.537,1.370.998,"55,7",205
Summe,118.054.842,18.270.199,,
