0,1,2,3,4,5,6
Meldewoche 47,Meldewoche 48,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,59.865,539,60.363,544,498,+1%
Bayern,85.272,649,71.174,542,-14.098,-17%
Berlin,14.971,409,13.474,368,-1.497,-10%
Brandenburg,19.451,768,16.902,668,-2.549,-13%
Bremen,1.469,216,1.451,213,-18,-1%
Hamburg,4.586,248,4.629,250,43,+1%
Hessen,18.163,289,17.690,281,-473,-3%
Mecklenburg-Vorpommern,6.875,427,7.104,441,229,+3%
Niedersachsen,18.454,231,17.168,215,-1.286,-7%
Nordrhein-Westfalen,54.094,302,54.733,305,639,+1%
Rheinland-Pfalz,13.816,337,14.494,354,678,+5%
Saarland,4.343,441,3.998,406,-345,-8%
Sachsen,59.147,1.458,54.308,1.339,-4.839,-8%
Sachsen-Anhalt,17.713,812,20.791,953,3.078,+17%
Schleswig-Holstein,4.554,156,4.237,146,-317,-7%
Thüringen,19.914,939,22.485,1.060,2.571,+13%
Gesamt,402.687,484,385.001,463,-17.686,-4%
