0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,
Jahre,Jahre,Jahre,und älter,
Symptomatische COVID-19-Fälle,61.405,40.540,274.076,40.306
davon… ungeimpft,57.235,24.192,79.510,10.126
grundimmunisiert,3.913,13.146,80.388,6.790
mit Auffrischimpfung,257,3.202,114.178,23.390
Hospitalisierte symptomatische COVID-19-Fälle,245,145,1.650,2.160
davon… ungeimpft,234,99,771,1.082
grundimmunisiert,11,39,439,355
mit Auffrischimpfung,0,7,440,723
Auf Intensivstation betreute symptomatische COVID-19-Fälle,3,2,51,238
davon… ungeimpft,3,1,39,149
grundimmunisiert,0,1,8,45
mit Auffrischimpfung,0,0,4,44
Verstorbene symptomatische COVID-19-Fälle,1,0,18,403
davon… ungeimpft,1,0,12,236
grundimmunisiert,0,0,3,55
mit Auffrischimpfung,0,0,3,112
